ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Volta (pre 2022),58097,Mean weight for height of children,-0.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNNUTSCWHM,GHDHS1993408004,1993,DHS,191,191,,,1
GHA,Eastern,4141443,Mean weight for height of children,0.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCWHM,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,5844730,Mean weight for height of children,-0.4,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCWHM,GHDHS1993408006,1993,DHS,324,324,,,1
GHA,Brong-Ahafo,34440,Mean weight for height of children,-0.8,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNNUTSCWHM,GHDHS1993408007,1993,DHS,185,185,,,1
GHA,"Northern, Upper West, Upper East",6078928,Mean weight for height of children,-1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNNUTSCWHM,GHDHS1993408008,1993,DHS,374,374,,,
GHA,Northern (pre 2022),58185,Mean weight for height of children,-0.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNNUTSCWHM,GHDHS1993408009,1993,DHS,179,179,,,1
GHA,Upper West,5589027,Mean weight for height of children,-0.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408010,1408100,Region,..Upper West,0,,0,1,CNNUTSCWHM,GHDHS1993408010,1993,DHS,61,61,,,1
GHA,Upper East,3592564,Mean weight for height of children,-1.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WHM,104236070,I,408011,1408110,Region,..Upper East,0,,0,1,CNNUTSCWHM,GHDHS1993408011,1993,DHS,134,134,,,1
GHA,Western (pre 2022),5771885,Children severely underweight,10.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNNUTSCWA3,GHDHS1993408001,1993,DHS,169,169,,,1
GHA,Central,4247113,Children severely underweight,6.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408002,1408020,Region,Central,0,,0,1,CNNUTSCWA3,GHDHS1993408002,1993,DHS,196,196,,,1
GHA,Greater Accra,6537843,Children severely underweight,3.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408003,1408030,Region,Greater Accra,0,,0,1,CNNUTSCWA3,GHDHS1993408003,1993,DHS,180,180,,,1
GHA,Volta (pre 2022),5254985,Children severely underweight,7.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNNUTSCWA3,GHDHS1993408004,1993,DHS,191,191,,,1
GHA,Eastern,4519608,Children severely underweight,4,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCWA3,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,2956955,Children severely underweight,5.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCWA3,GHDHS1993408006,1993,DHS,324,324,,,1
GHA,Brong-Ahafo,6694614,Children severely underweight,7.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNNUTSCWA3,GHDHS1993408007,1993,DHS,185,185,,,1
GHA,"Northern, Upper West, Upper East",5567206,Children severely underweight,15,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNNUTSCWA3,GHDHS1993408008,1993,DHS,374,374,,,
GHA,Northern (pre 2022),2317675,Children severely underweight,20.7,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNNUTSCWA3,GHDHS1993408009,1993,DHS,179,179,,,1
GHA,Upper West,6881123,Children severely underweight,4.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408010,1408100,Region,..Upper West,0,,0,1,CNNUTSCWA3,GHDHS1993408010,1993,DHS,61,61,,,1
GHA,Upper East,58169,Children severely underweight,11.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA3,104236080,I,408011,1408110,Region,..Upper East,0,,0,1,CNNUTSCWA3,GHDHS1993408011,1993,DHS,134,134,,,1
GHA,Western (pre 2022),5771887,Children underweight,32.5,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNNUTSCWA2,GHDHS1993408001,1993,DHS,169,169,,,1
GHA,Central,4247112,Children underweight,18.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408002,1408020,Region,Central,0,,0,1,CNNUTSCWA2,GHDHS1993408002,1993,DHS,196,196,,,1
GHA,Greater Accra,6537842,Children underweight,13.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408003,1408030,Region,Greater Accra,0,,0,1,CNNUTSCWA2,GHDHS1993408003,1993,DHS,180,180,,,1
GHA,Volta (pre 2022),5254983,Children underweight,16.8,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNNUTSCWA2,GHDHS1993408004,1993,DHS,191,191,,,1
GHA,Eastern,4519607,Children underweight,16,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCWA2,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,2956954,Children underweight,17.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_WA2,104236090,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCWA2,GHDHS1993408006,1993,DHS,324,324,,,1
